Label,channel,time,condition,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite,repeat_exp,category
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_17.npz,gRNA,10,RDV,31,31,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_18.npz,gRNA,10,RDV,91,75,7,2.2857142857142856,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_19.npz,gRNA,10,RDV,35,33,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_2.npz,gRNA,10,RDV,33,31,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_20.npz,gRNA,10,RDV,42,36,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_21.npz,gRNA,10,RDV,327,213,23,4.956521739130435,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_22.npz,gRNA,10,RDV,14,14,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_23.npz,gRNA,10,RDV,138,108,5,6,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_24.npz,gRNA,10,RDV,1250,758,68,7.235294117647059,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_25.npz,gRNA,10,RDV,90,86,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_26.npz,gRNA,10,RDV,60,52,4,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_27.npz,gRNA,10,RDV,18,16,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_28.npz,gRNA,10,RDV,37,30,3,2.3333333333333335,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_29.npz,gRNA,10,RDV,21,17,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_3.npz,gRNA,10,RDV,695,464,57,4.052631578947368,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_30.npz,gRNA,10,RDV,1,1,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_31.npz,gRNA,10,RDV,1277,897,103,3.6893203883495147,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_32.npz,gRNA,10,RDV,1355,835,84,6.190476190476191,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_33.npz,gRNA,10,RDV,3,3,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_34.npz,gRNA,10,RDV,40,38,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_35.npz,gRNA,10,RDV,51,47,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_36.npz,gRNA,10,RDV,21,19,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_37.npz,gRNA,10,RDV,79,75,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_38.npz,gRNA,10,RDV,44,42,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_4.npz,gRNA,10,RDV,79,77,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_5.npz,gRNA,10,RDV,55,46,2,4.5,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_6.npz,gRNA,10,RDV,4,4,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_7.npz,gRNA,10,RDV,527,349,36,4.944444444444445,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_8.npz,gRNA,10,RDV,8,8,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00009__results_cell_9.npz,gRNA,10,RDV,3,3,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_0.npz,ORFN,10,RDV,72,66,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_1.npz,ORFN,10,RDV,1344,1321,11,2.090909090909091,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_10.npz,ORFN,10,RDV,156,154,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_11.npz,ORFN,10,RDV,468,434,11,3.090909090909091,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_12.npz,ORFN,10,RDV,741,714,10,2.7,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_13.npz,ORFN,10,RDV,711,662,9,5.444444444444445,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_14.npz,ORFN,10,RDV,999,958,17,2.411764705882353,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_15.npz,ORFN,10,RDV,3453,3308,50,2.9,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_16.npz,ORFN,10,RDV,1266,1150,16,7.25,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_17.npz,ORFN,10,RDV,2739,2620,58,2.0517241379310347,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_18.npz,ORFN,10,RDV,10125,9648,210,2.2714285714285714,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_19.npz,ORFN,10,RDV,690,672,8,2.25,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_2.npz,ORFN,10,RDV,162,160,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_20.npz,ORFN,10,RDV,294,273,9,2.3333333333333335,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_21.npz,ORFN,10,RDV,12,12,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_22.npz,ORFN,10,RDV,1122,1072,16,3.125,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_23.npz,ORFN,10,RDV,726,693,15,2.2,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_24.npz,ORFN,10,RDV,489,462,10,2.7,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_25.npz,ORFN,10,RDV,522,444,9,8.666666666666666,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_3.npz,ORFN,10,RDV,297,274,8,2.875,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_4.npz,ORFN,10,RDV,726,662,11,5.818181818181818,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_5.npz,ORFN,10,RDV,2328,2159,33,5.121212121212121,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_6.npz,ORFN,10,RDV,36,34,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_7.npz,ORFN,10,RDV,615,596,8,2.375,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_8.npz,ORFN,10,RDV,834,787,22,2.1363636363636362,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_9.npz,ORFN,10,RDV,5730,5501,105,2.1809523809523808,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_0.npz,gRNA,10,RDV,18,18,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_1.npz,gRNA,10,RDV,179,125,17,3.176470588235294,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_10.npz,gRNA,10,RDV,45,43,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_11.npz,gRNA,10,RDV,39,35,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_12.npz,gRNA,10,RDV,55,53,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_13.npz,gRNA,10,RDV,66,62,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_14.npz,gRNA,10,RDV,114,98,8,2,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_15.npz,gRNA,10,RDV,375,240,36,3.75,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_16.npz,gRNA,10,RDV,122,113,4,2.25,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_17.npz,gRNA,10,RDV,90,71,9,2.111111111111111,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_18.npz,gRNA,10,RDV,1234,759,92,5.163043478260869,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_19.npz,gRNA,10,RDV,60,58,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_2.npz,gRNA,10,RDV,14,12,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_20.npz,gRNA,10,RDV,80,69,5,2.2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_21.npz,gRNA,10,RDV,0,0,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_22.npz,gRNA,10,RDV,136,126,4,2.5,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_23.npz,gRNA,10,RDV,86,75,5,2.2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_24.npz,gRNA,10,RDV,55,53,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_25.npz,gRNA,10,RDV,34,34,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_3.npz,gRNA,10,RDV,32,32,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_4.npz,gRNA,10,RDV,44,42,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_5.npz,gRNA,10,RDV,120,108,4,3,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_6.npz,gRNA,10,RDV,12,12,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_7.npz,gRNA,10,RDV,164,129,10,3.5,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_8.npz,gRNA,10,RDV,68,62,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00010__results_cell_9.npz,gRNA,10,RDV,762,534,57,4,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_0.npz,ORFN,10,RDV,39,39,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_1.npz,ORFN,10,RDV,11049,10655,171,2.304093567251462,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_10.npz,ORFN,10,RDV,1581,1534,22,2.1363636363636362,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_11.npz,ORFN,10,RDV,3561,3469,44,2.090909090909091,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_12.npz,ORFN,10,RDV,177,160,5,3.4,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_13.npz,ORFN,10,RDV,48,46,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_14.npz,ORFN,10,RDV,36,36,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_15.npz,ORFN,10,RDV,138,136,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_16.npz,ORFN,10,RDV,81,79,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_17.npz,ORFN,10,RDV,84,82,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_18.npz,ORFN,10,RDV,1308,1218,38,2.3684210526315788,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_19.npz,ORFN,10,RDV,12468,11652,343,2.379008746355685,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_2.npz,ORFN,10,RDV,36,36,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_20.npz,ORFN,10,RDV,8052,7832,100,2.2,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_21.npz,ORFN,10,RDV,402,355,8,5.875,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_22.npz,ORFN,10,RDV,36,36,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_23.npz,ORFN,10,RDV,138,132,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_24.npz,ORFN,10,RDV,3927,3535,147,2.6666666666666665,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_25.npz,ORFN,10,RDV,261,232,4,7.25,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_26.npz,ORFN,10,RDV,894,819,28,2.6785714285714284,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_27.npz,ORFN,10,RDV,162,152,3,3.3333333333333335,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_28.npz,ORFN,10,RDV,192,192,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_29.npz,ORFN,10,RDV,237,222,7,2.142857142857143,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_3.npz,ORFN,10,RDV,306,298,4,2,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_30.npz,ORFN,10,RDV,171,171,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_31.npz,ORFN,10,RDV,120,114,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_32.npz,ORFN,10,RDV,273,234,10,3.9,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_33.npz,ORFN,10,RDV,51,44,2,3.5,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_4.npz,ORFN,10,RDV,135,129,2,3,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_5.npz,ORFN,10,RDV,3789,3704,39,2.1794871794871793,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_6.npz,ORFN,10,RDV,387,379,2,4,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_7.npz,ORFN,10,RDV,108,106,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_8.npz,ORFN,10,RDV,66,64,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_9.npz,ORFN,10,RDV,381,366,7,2.142857142857143,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_0.npz,gRNA,10,RDV,25,25,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_1.npz,gRNA,10,RDV,569,387,33,5.515151515151516,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_10.npz,gRNA,10,RDV,467,301,33,5.03030303030303,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_11.npz,gRNA,10,RDV,244,215,13,2.230769230769231,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_12.npz,gRNA,10,RDV,11,11,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_13.npz,gRNA,10,RDV,36,36,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_14.npz,gRNA,10,RDV,35,35,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_15.npz,gRNA,10,RDV,33,33,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_16.npz,gRNA,10,RDV,15,13,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_17.npz,gRNA,10,RDV,28,26,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_18.npz,gRNA,10,RDV,166,126,14,2.857142857142857,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_19.npz,gRNA,10,RDV,2650,1658,222,4.468468468468468,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_2.npz,gRNA,10,RDV,23,23,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_20.npz,gRNA,10,RDV,1255,874,70,5.442857142857143,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_21.npz,gRNA,10,RDV,48,44,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_22.npz,gRNA,10,RDV,13,13,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_23.npz,gRNA,10,RDV,16,16,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_24.npz,gRNA,10,RDV,1186,688,103,4.834951456310679,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_25.npz,gRNA,10,RDV,44,42,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_26.npz,gRNA,10,RDV,193,136,16,3.5625,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_27.npz,gRNA,10,RDV,52,50,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_28.npz,gRNA,10,RDV,71,65,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_29.npz,gRNA,10,RDV,65,57,3,2.6666666666666665,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_3.npz,gRNA,10,RDV,29,29,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_30.npz,gRNA,10,RDV,67,65,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_31.npz,gRNA,10,RDV,46,44,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_32.npz,gRNA,10,RDV,24,24,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_33.npz,gRNA,10,RDV,0,0,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_4.npz,gRNA,10,RDV,10,10,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_5.npz,gRNA,10,RDV,486,380,31,3.4193548387096775,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_6.npz,gRNA,10,RDV,26,24,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_7.npz,gRNA,10,RDV,22,22,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_8.npz,gRNA,10,RDV,52,50,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00011__results_cell_9.npz,gRNA,10,RDV,27,27,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_0.npz,ORFN,10,RDV,327,311,7,2.2857142857142856,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_1.npz,ORFN,10,RDV,1503,1325,20,8.9,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_10.npz,ORFN,10,RDV,96,89,2,3.5,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_11.npz,ORFN,10,RDV,780,708,17,4.235294117647059,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_12.npz,ORFN,10,RDV,399,379,8,2.5,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_13.npz,ORFN,10,RDV,705,680,7,3.5714285714285716,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_14.npz,ORFN,10,RDV,456,429,11,2.4545454545454546,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_15.npz,ORFN,10,RDV,144,132,5,2.4,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_16.npz,ORFN,10,RDV,111,109,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_17.npz,ORFN,10,RDV,156,156,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_18.npz,ORFN,10,RDV,240,234,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_19.npz,ORFN,10,RDV,336,317,9,2.111111111111111,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_2.npz,ORFN,10,RDV,477,444,14,2.357142857142857,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_20.npz,ORFN,10,RDV,240,224,4,4,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_21.npz,ORFN,10,RDV,360,334,12,2.1666666666666665,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_22.npz,ORFN,10,RDV,327,305,7,3.142857142857143,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_23.npz,ORFN,10,RDV,30,30,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_24.npz,ORFN,10,RDV,42,37,2,2.5,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_25.npz,ORFN,10,RDV,183,173,5,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_26.npz,ORFN,10,RDV,51,49,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_27.npz,ORFN,10,RDV,2409,2272,65,2.1076923076923078,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_28.npz,ORFN,10,RDV,198,178,7,2.857142857142857,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_3.npz,ORFN,10,RDV,60,55,2,2.5,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_4.npz,ORFN,10,RDV,87,87,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_5.npz,ORFN,10,RDV,42,42,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_6.npz,ORFN,10,RDV,132,126,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_7.npz,ORFN,10,RDV,285,273,6,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_8.npz,ORFN,10,RDV,366,349,8,2.125,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_9.npz,ORFN,10,RDV,66,60,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_0.npz,gRNA,10,RDV,47,41,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_1.npz,gRNA,10,RDV,129,119,5,2,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_10.npz,gRNA,10,RDV,27,23,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_11.npz,gRNA,10,RDV,162,127,13,2.6923076923076925,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_12.npz,gRNA,10,RDV,144,117,13,2.076923076923077,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_13.npz,gRNA,10,RDV,97,88,4,2.25,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_14.npz,gRNA,10,RDV,268,165,8,12.875,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_15.npz,gRNA,10,RDV,29,27,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_16.npz,gRNA,10,RDV,54,46,4,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_17.npz,gRNA,10,RDV,39,33,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_18.npz,gRNA,10,RDV,81,66,6,2.5,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_19.npz,gRNA,10,RDV,122,102,9,2.2222222222222223,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_2.npz,gRNA,10,RDV,30,26,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_20.npz,gRNA,10,RDV,32,32,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_21.npz,gRNA,10,RDV,262,190,24,3,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_22.npz,gRNA,10,RDV,30,26,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_23.npz,gRNA,10,RDV,14,14,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_24.npz,gRNA,10,RDV,4,4,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_25.npz,gRNA,10,RDV,76,69,3,2.3333333333333335,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_26.npz,gRNA,10,RDV,30,26,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_27.npz,gRNA,10,RDV,195,160,15,2.3333333333333335,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_28.npz,gRNA,10,RDV,58,52,3,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_3.npz,gRNA,10,RDV,23,14,2,4.5,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_4.npz,gRNA,10,RDV,13,11,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_5.npz,gRNA,10,RDV,4,4,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_6.npz,gRNA,10,RDV,17,13,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_7.npz,gRNA,10,RDV,74,67,3,2.3333333333333335,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_8.npz,gRNA,10,RDV,98,87,5,2.2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00012__results_cell_9.npz,gRNA,10,RDV,23,21,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_0.npz,ORFN,10,RDV,489,420,13,5.3076923076923075,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_1.npz,ORFN,10,RDV,54,54,0,0,R5,Low
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_10.npz,ORFN,10,RDV,2115,1997,52,2.269230769230769,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_11.npz,ORFN,10,RDV,594,559,9,3.888888888888889,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_12.npz,ORFN,10,RDV,477,461,8,2,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_13.npz,ORFN,10,RDV,327,309,5,3.6,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_14.npz,ORFN,10,RDV,2298,2197,49,2.061224489795918,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_15.npz,ORFN,10,RDV,264,262,1,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_16.npz,ORFN,10,RDV,2826,2697,62,2.0806451612903225,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_17.npz,ORFN,10,RDV,189,185,2,2,R5,Low
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_18.npz,ORFN,10,RDV,330,322,4,2,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_19.npz,ORFN,10,RDV,606,575,9,3.4444444444444446,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_2.npz,ORFN,10,RDV,327,310,7,2.4285714285714284,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_20.npz,ORFN,10,RDV,369,345,7,3.4285714285714284,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_21.npz,ORFN,10,RDV,411,353,4,14.5,R5,Mid
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_22.npz,ORFN,10,RDV,294,261,4,8.25,R5,Low
CoV-FISH-01C_R2_10h_RDV_00013__results_cell_23.npz,ORFN,10,RDV,270,256,4,3.5,R5,Low
