Label,channel,time,condition,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite,repeat_exp
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_2.npz,ORFN,10,RDV,4128,447,19,193.73684210526315,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_20.npz,ORFN,10,RDV,393,28,1,365,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_21.npz,ORFN,10,RDV,936,65,3,290.3333333333333,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_22.npz,ORFN,10,RDV,918,54,6,144,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_3.npz,ORFN,10,RDV,7316,487,22,310.40909090909093,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_4.npz,ORFN,10,RDV,17,17,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_5.npz,ORFN,10,RDV,3262,238,14,216,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_6.npz,ORFN,10,RDV,6386,283,26,234.73076923076923,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_7.npz,ORFN,10,RDV,88,61,1,27,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_8.npz,ORFN,10,RDV,8826,152,19,456.5263157894737,R4
CoV-FISH-01C_R1_10h_RDV_00007_cleared__results_cell_9.npz,ORFN,10,RDV,172,73,2,49.5,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_0.npz,gRNA,10,RDV,0,0,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_1.npz,gRNA,10,RDV,3,3,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_10.npz,gRNA,10,RDV,18,18,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_11.npz,gRNA,10,RDV,191,15,3,58.666666666666664,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_12.npz,gRNA,10,RDV,2008,104,11,173.0909090909091,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_13.npz,gRNA,10,RDV,272,44,3,76,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_14.npz,gRNA,10,RDV,254,49,3,68.33333333333333,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_15.npz,gRNA,10,RDV,223,130,3,31,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_16.npz,gRNA,10,RDV,1459,193,14,90.42857142857143,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_17.npz,gRNA,10,RDV,404,68,4,84,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_18.npz,gRNA,10,RDV,504,31,5,94.6,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_19.npz,gRNA,10,RDV,17,17,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_2.npz,gRNA,10,RDV,766,124,6,107,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_20.npz,gRNA,10,RDV,209,75,3,44.666666666666664,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_3.npz,gRNA,10,RDV,11,11,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_4.npz,gRNA,10,RDV,4575,399,44,94.9090909090909,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_5.npz,gRNA,10,RDV,610,145,6,77.5,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_6.npz,gRNA,10,RDV,896,234,10,66.2,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_7.npz,gRNA,10,RDV,2,2,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_8.npz,gRNA,10,RDV,123,112,1,11,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_9.npz,gRNA,10,RDV,474,29,4,111.25,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_0.npz,ORFN,10,RDV,0,0,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_1.npz,ORFN,10,RDV,472,8,1,464,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_10.npz,ORFN,10,RDV,14,14,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_11.npz,ORFN,10,RDV,2305,91,8,276.75,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_12.npz,ORFN,10,RDV,9434,244,19,483.6842105263158,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_13.npz,ORFN,10,RDV,715,49,4,166.5,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_14.npz,ORFN,10,RDV,5247,135,17,300.70588235294116,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_15.npz,ORFN,10,RDV,1931,190,14,124.35714285714286,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_16.npz,ORFN,10,RDV,5205,257,21,235.61904761904762,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_17.npz,ORFN,10,RDV,3730,87,10,364.3,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_18.npz,ORFN,10,RDV,2470,97,9,263.6666666666667,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_19.npz,ORFN,10,RDV,3011,89,6,487,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_2.npz,ORFN,10,RDV,959,87,6,145.33333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_20.npz,ORFN,10,RDV,2479,110,9,263.22222222222223,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_3.npz,ORFN,10,RDV,33,33,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_4.npz,ORFN,10,RDV,26782,1326,83,306.69879518072287,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_5.npz,ORFN,10,RDV,5729,287,23,236.6086956521739,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_6.npz,ORFN,10,RDV,583,264,8,39.875,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_7.npz,ORFN,10,RDV,744,54,2,345,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_8.npz,ORFN,10,RDV,213,98,3,38.333333333333336,R4
CoV-FISH-01C_R1_10h_RDV_00008_cleared__results_cell_9.npz,ORFN,10,RDV,2356,122,8,279.25,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_0.npz,gRNA,10,RDV,36,36,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_1.npz,gRNA,10,RDV,716,119,5,119.4,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_10.npz,gRNA,10,RDV,749,128,6,103.5,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_11.npz,gRNA,10,RDV,1603,109,9,166,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_12.npz,gRNA,10,RDV,1874,159,13,131.92307692307693,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_13.npz,gRNA,10,RDV,362,68,4,73.5,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_14.npz,gRNA,10,RDV,1061,40,8,127.625,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_15.npz,gRNA,10,RDV,1633,92,14,110.07142857142857,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_16.npz,gRNA,10,RDV,37,37,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_17.npz,gRNA,10,RDV,1380,195,16,74.0625,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_2.npz,gRNA,10,RDV,384,161,3,74.33333333333333,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_3.npz,gRNA,10,RDV,517,73,6,74,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_4.npz,gRNA,10,RDV,292,54,3,79.33333333333333,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_5.npz,gRNA,10,RDV,540,107,3,144.33333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_6.npz,gRNA,10,RDV,507,53,6,75.66666666666667,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_7.npz,gRNA,10,RDV,1034,78,7,136.57142857142858,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_8.npz,gRNA,10,RDV,307,77,4,57.5,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_9.npz,gRNA,10,RDV,957,165,7,113.14285714285714,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_0.npz,ORFN,10,RDV,3630,136,12,291.1666666666667,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_1.npz,ORFN,10,RDV,1648,172,8,184.5,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_10.npz,ORFN,10,RDV,997,123,7,124.85714285714286,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_11.npz,ORFN,10,RDV,4631,237,24,183.08333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_12.npz,ORFN,10,RDV,3770,193,16,223.5625,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_13.npz,ORFN,10,RDV,2859,106,10,275.3,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_14.npz,ORFN,10,RDV,5998,221,22,262.59090909090907,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_15.npz,ORFN,10,RDV,9774,287,36,263.52777777777777,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_16.npz,ORFN,10,RDV,1378,92,9,142.88888888888889,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_17.npz,ORFN,10,RDV,13016,486,57,219.82456140350877,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_2.npz,ORFN,10,RDV,2080,232,13,142.15384615384616,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_3.npz,ORFN,10,RDV,1370,111,6,209.83333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_4.npz,ORFN,10,RDV,766,66,5,140,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_5.npz,ORFN,10,RDV,1806,146,9,184.44444444444446,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_6.npz,ORFN,10,RDV,2755,101,9,294.8888888888889,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_7.npz,ORFN,10,RDV,1994,74,7,274.2857142857143,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_8.npz,ORFN,10,RDV,2755,112,9,293.6666666666667,R4
CoV-FISH-01C_R1_10h_RDV_00009_cleared__results_cell_9.npz,ORFN,10,RDV,2702,235,13,189.76923076923077,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_0.npz,gRNA,10,RDV,536,23,3,171,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_1.npz,gRNA,10,RDV,750,75,4,168.75,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_10.npz,gRNA,10,RDV,3,3,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_11.npz,gRNA,10,RDV,183,10,1,173,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_12.npz,gRNA,10,RDV,514,114,3,133.33333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_13.npz,gRNA,10,RDV,311,21,2,145,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_14.npz,gRNA,10,RDV,213,19,2,97,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_15.npz,gRNA,10,RDV,861,93,8,96,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_16.npz,gRNA,10,RDV,1207,84,10,112.3,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_17.npz,gRNA,10,RDV,3308,287,31,97.45161290322581,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_18.npz,gRNA,10,RDV,919,113,7,115.14285714285714,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_19.npz,gRNA,10,RDV,134,11,1,123,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_2.npz,gRNA,10,RDV,905,102,7,114.71428571428571,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_20.npz,gRNA,10,RDV,488,25,3,154.33333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_21.npz,gRNA,10,RDV,447,49,6,66.33333333333333,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_3.npz,gRNA,10,RDV,5658,801,64,75.890625,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_4.npz,gRNA,10,RDV,191,191,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_5.npz,gRNA,10,RDV,2,2,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_6.npz,gRNA,10,RDV,500,17,3,161,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_7.npz,gRNA,10,RDV,545,104,7,63,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_8.npz,gRNA,10,RDV,81,10,1,71,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_9.npz,gRNA,10,RDV,255,62,4,48.25,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_0.npz,ORFN,10,RDV,50,50,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_1.npz,ORFN,10,RDV,110,71,1,39,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_10.npz,ORFN,10,RDV,14,14,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_11.npz,ORFN,10,RDV,1402,53,5,269.8,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_12.npz,ORFN,10,RDV,4286,170,18,228.66666666666666,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_13.npz,ORFN,10,RDV,1609,82,6,254.5,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_14.npz,ORFN,10,RDV,855,71,6,130.66666666666666,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_15.npz,ORFN,10,RDV,2119,152,9,218.55555555555554,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_16.npz,ORFN,10,RDV,4119,230,15,259.26666666666665,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_17.npz,ORFN,10,RDV,11344,1103,41,249.78048780487805,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_18.npz,ORFN,10,RDV,4796,244,22,206.9090909090909,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_19.npz,ORFN,10,RDV,254,43,2,105.5,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_2.npz,ORFN,10,RDV,3726,249,15,231.8,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_20.npz,ORFN,10,RDV,1548,61,6,247.83333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_21.npz,ORFN,10,RDV,1987,78,7,272.7142857142857,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_3.npz,ORFN,10,RDV,34833,1866,165,199.8,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_4.npz,ORFN,10,RDV,419,208,5,42.2,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_5.npz,ORFN,10,RDV,712,19,2,346.5,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_6.npz,ORFN,10,RDV,1128,55,3,357.6666666666667,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_7.npz,ORFN,10,RDV,258,79,2,89.5,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_8.npz,ORFN,10,RDV,47,47,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00010_cleared__results_cell_9.npz,ORFN,10,RDV,2050,136,12,159.5,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_0.npz,gRNA,10,RDV,182,39,2,71.5,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_1.npz,gRNA,10,RDV,34,14,1,20,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_10.npz,gRNA,10,RDV,1,1,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_11.npz,gRNA,10,RDV,21,21,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_12.npz,gRNA,10,RDV,906,100,4,201.5,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_13.npz,gRNA,10,RDV,1136,50,6,181,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_14.npz,gRNA,10,RDV,187,43,1,144,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_15.npz,gRNA,10,RDV,1981,163,9,202,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_16.npz,gRNA,10,RDV,718,61,4,164.25,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_17.npz,gRNA,10,RDV,10491,417,48,209.875,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_18.npz,gRNA,10,RDV,1496,43,6,242.16666666666666,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_19.npz,gRNA,10,RDV,2010,139,10,187.1,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_2.npz,gRNA,10,RDV,537,30,2,253.5,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_20.npz,gRNA,10,RDV,2435,164,17,133.58823529411765,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_21.npz,gRNA,10,RDV,257,64,2,96.5,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_22.npz,gRNA,10,RDV,2451,184,19,119.3157894736842,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_23.npz,gRNA,10,RDV,1465,181,5,256.8,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_24.npz,gRNA,10,RDV,1020,95,4,231.25,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_25.npz,gRNA,10,RDV,201,63,1,138,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_26.npz,gRNA,10,RDV,1540,118,8,177.75,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_27.npz,gRNA,10,RDV,2038,164,12,156.16666666666666,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_28.npz,gRNA,10,RDV,1,1,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_29.npz,gRNA,10,RDV,544,78,3,155.33333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_3.npz,gRNA,10,RDV,13,13,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_30.npz,gRNA,10,RDV,2735,195,18,141.11111111111111,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_31.npz,gRNA,10,RDV,1115,62,4,263.25,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_32.npz,gRNA,10,RDV,9579,409,56,163.75,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_4.npz,gRNA,10,RDV,585,53,2,266,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_5.npz,gRNA,10,RDV,17,17,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_6.npz,gRNA,10,RDV,17,17,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_7.npz,gRNA,10,RDV,533,32,3,167,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_8.npz,gRNA,10,RDV,2,2,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_9.npz,gRNA,10,RDV,1994,83,6,318.5,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_0.npz,ORFN,10,RDV,392,22,1,370,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_1.npz,ORFN,10,RDV,894,17,2,438.5,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_10.npz,ORFN,10,RDV,8,8,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_11.npz,ORFN,10,RDV,650,40,1,610,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_12.npz,ORFN,10,RDV,908,104,2,402,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_13.npz,ORFN,10,RDV,3169,129,8,380,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_14.npz,ORFN,10,RDV,822,19,2,401.5,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_15.npz,ORFN,10,RDV,4621,178,10,444.3,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_16.npz,ORFN,10,RDV,1536,51,3,495,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_17.npz,ORFN,10,RDV,87784,1755,204,421.71078431372547,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_18.npz,ORFN,10,RDV,21605,1053,49,419.42857142857144,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_19.npz,ORFN,10,RDV,1800,111,7,241.28571428571428,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_2.npz,ORFN,10,RDV,1160,63,3,365.6666666666667,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_20.npz,ORFN,10,RDV,4359,174,16,261.5625,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_21.npz,ORFN,10,RDV,198,50,1,148,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_22.npz,ORFN,10,RDV,2357,245,16,132,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_23.npz,ORFN,10,RDV,5606,136,11,497.27272727272725,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_24.npz,ORFN,10,RDV,4817,134,15,312.2,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_25.npz,ORFN,10,RDV,1916,112,7,257.7142857142857,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_26.npz,ORFN,10,RDV,1252,74,4,294.5,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_27.npz,ORFN,10,RDV,3473,157,12,276.3333333333333,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_28.npz,ORFN,10,RDV,1,1,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_29.npz,ORFN,10,RDV,2365,277,10,208.8,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_3.npz,ORFN,10,RDV,9,9,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_30.npz,ORFN,10,RDV,4698,304,16,274.625,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_31.npz,ORFN,10,RDV,2317,99,5,443.6,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_32.npz,ORFN,10,RDV,46203,1471,147,304.29931972789115,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_4.npz,ORFN,10,RDV,269,16,1,253,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_5.npz,ORFN,10,RDV,1039,37,2,501,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_6.npz,ORFN,10,RDV,7,7,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_7.npz,ORFN,10,RDV,16,16,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_8.npz,ORFN,10,RDV,7,7,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00011_cleared__results_cell_9.npz,ORFN,10,RDV,1415,39,6,229.33333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_0.npz,gRNA,10,RDV,223,21,1,202,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_1.npz,gRNA,10,RDV,886,47,4,209.75,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_10.npz,gRNA,10,RDV,987,82,8,113.125,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_11.npz,gRNA,10,RDV,773,83,5,138,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_12.npz,gRNA,10,RDV,0,0,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_13.npz,gRNA,10,RDV,209,15,1,194,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_14.npz,gRNA,10,RDV,648,156,4,123,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_15.npz,gRNA,10,RDV,204,36,2,84,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_16.npz,gRNA,10,RDV,718,49,4,167.25,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_17.npz,gRNA,10,RDV,1522,243,17,75.23529411764706,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_18.npz,gRNA,10,RDV,1256,239,14,72.64285714285714,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_19.npz,gRNA,10,RDV,602,98,5,100.8,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_2.npz,gRNA,10,RDV,208,30,1,178,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_20.npz,gRNA,10,RDV,676,84,3,197.33333333333334,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_21.npz,gRNA,10,RDV,2107,185,16,120.125,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_22.npz,gRNA,10,RDV,36,36,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_23.npz,gRNA,10,RDV,38,38,0,NA,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_24.npz,gRNA,10,RDV,1182,136,8,130.75,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_25.npz,gRNA,10,RDV,3685,145,17,208.23529411764707,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_26.npz,gRNA,10,RDV,1762,236,16,95.375,R4
CoV-FISH-01C_R1_10h_RDV_00012_cleared__results_cell_27.npz,gRNA,10,RDV,244,58,1,186,R4
