,file_name,ch,strain,time,condition,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite
1344,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,11,11,0,
1345,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,7,7,0,
1346,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,26,21,1,5.0
1347,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,19,19,0,
1348,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,17,17,0,
1349,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch4_results_cell_7.npz,gRNA,Victoria,2,Untreated,29,25,1,4.0
1350,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch4_results_cell_8.npz,gRNA,Victoria,2,Untreated,17,17,0,
1351,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch4_results_cell_9.npz,gRNA,Victoria,2,Untreated,3,3,0,
1352,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,149,123,4,6.5
1353,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,129,111,4,4.5
1354,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,48,38,2,5.0
1355,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,166,138,5,5.6
1356,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,41,28,2,6.5
1357,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,83,77,1,6.0
1358,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch3_results_cell_6.npz,ORFN,Victoria,2,Untreated,277,191,7,12.285714285714286
1359,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch3_results_cell_7.npz,ORFN,Victoria,2,Untreated,155,143,2,6.0
1360,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,4,4,0,
1361,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,2,2,0,
1362,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,4,4,0,
1363,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,11,11,0,
1364,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,9,9,0,
1365,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,10,10,0,
1366,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,70,41,3,9.666666666666666
1367,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch4_results_cell_7.npz,gRNA,Victoria,2,Untreated,11,11,0,
1368,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,89,76,3,4.333333333333333
1369,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,80,71,2,4.5
1370,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,86,69,4,4.25
1371,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,214,165,7,7.0
1372,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,173,140,6,5.5
1373,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,123,115,2,4.0
1374,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch3_results_cell_6.npz,ORFN,Victoria,2,Untreated,48,48,0,
1375,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch3_results_cell_7.npz,ORFN,Victoria,2,Untreated,138,107,3,10.333333333333334
1376,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,6,6,0,
1377,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,5,5,0,
1378,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,6,6,0,
1379,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,15,15,0,
1380,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,19,15,1,4.0
1381,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,25,25,0,
1382,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,3,3,0,
1383,CoV-FISH-10_Vero_2h_Vic_INF_R1_00004_ch4_results_cell_7.npz,gRNA,Victoria,2,Untreated,13,13,0,
1384,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,143,133,2,5.0
1385,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_10.npz,ORFN,Victoria,2,Untreated,216,176,8,5.0
1386,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_11.npz,ORFN,Victoria,2,Untreated,251,211,7,5.714285714285714
1387,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,78,53,3,8.333333333333334
1388,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,161,139,5,4.4
1389,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,158,141,4,4.25
1390,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,41,35,1,6.0
1391,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,91,87,1,4.0
1392,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_6.npz,ORFN,Victoria,2,Untreated,110,87,5,4.6
1393,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_7.npz,ORFN,Victoria,2,Untreated,149,120,3,9.666666666666666
1394,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_8.npz,ORFN,Victoria,2,Untreated,23,23,0,
1395,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch3_results_cell_9.npz,ORFN,Victoria,2,Untreated,80,72,2,4.0
1396,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,5,5,0,
1397,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_10.npz,gRNA,Victoria,2,Untreated,23,19,1,4.0
1398,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_11.npz,gRNA,Victoria,2,Untreated,24,24,0,
1399,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,3,3,0,
1400,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,8,8,0,
1401,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,23,23,0,
1402,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,14,9,1,5.0
1403,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,4,4,0,
1404,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,5,5,0,
1405,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_7.npz,gRNA,Victoria,2,Untreated,8,8,0,
1406,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_8.npz,gRNA,Victoria,2,Untreated,2,2,0,
1407,CoV-FISH-10_Vero_2h_Vic_INF_R1_00005_ch4_results_cell_9.npz,gRNA,Victoria,2,Untreated,7,7,0,
1408,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,332,231,7,14.428571428571429
1409,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,464,303,14,11.5
1410,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,83,83,0,
1411,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,268,212,7,8.0
1412,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,237,203,4,8.5
1413,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,268,211,7,8.142857142857142
1414,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,7,7,0,
1415,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,158,91,3,22.333333333333332
1416,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,10,10,0,
1417,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,30,25,1,5.0
1418,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,29,29,0,
1419,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,41,31,2,5.0
1420,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,59,55,1,4.0
1421,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,47,39,2,4.0
1422,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,254,191,8,7.875
1423,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,457,318,19,7.315789473684211
1424,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,466,301,11,15.0
1425,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,254,215,7,5.571428571428571
1426,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch3_results_cell_6.npz,ORFN,Victoria,2,Untreated,165,148,4,4.25
1427,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,7,7,0,
1428,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,5,5,0,
1429,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,37,33,1,4.0
1430,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,89,65,4,6.0
1431,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,98,63,1,35.0
1432,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,32,26,1,6.0
1433,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,16,16,0,
1434,CoV-FISH-10_Vero_2h_Vic_INF_R1_00008_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,253,193,12,5.0
1435,CoV-FISH-10_Vero_2h_Vic_INF_R1_00008_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,114,98,2,8.0
1436,CoV-FISH-10_Vero_2h_Vic_INF_R1_00008_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,205,183,5,4.4
1437,CoV-FISH-10_Vero_2h_Vic_INF_R1_00008_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,145,135,2,5.0
1438,CoV-FISH-10_Vero_2h_Vic_INF_R1_00008_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,12,12,0,
1439,CoV-FISH-10_Vero_2h_Vic_INF_R1_00008_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,18,18,0,
1440,CoV-FISH-10_Vero_2h_Vic_INF_R1_00008_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,20,20,0,
1441,CoV-FISH-10_Vero_2h_Vic_INF_R1_00008_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,12,12,0,
1442,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,193,171,1,22.0
1443,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,139,106,5,6.6
1444,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,128,107,4,5.25
1445,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,132,113,4,4.75
1446,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,105,96,2,4.5
1447,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,93,89,1,4.0
1448,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch3_results_cell_6.npz,ORFN,Victoria,2,Untreated,132,116,3,5.333333333333333
1449,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch3_results_cell_7.npz,ORFN,Victoria,2,Untreated,253,182,7,10.142857142857142
1450,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch3_results_cell_8.npz,ORFN,Victoria,2,Untreated,126,104,5,4.4
1451,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,15,15,0,
1452,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,4,4,0,
1453,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,9,9,0,
1454,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,12,12,0,
1455,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,15,15,0,
1456,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,6,6,0,
1457,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,10,10,0,
1458,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch4_results_cell_7.npz,gRNA,Victoria,2,Untreated,19,19,0,
1459,CoV-FISH-10_Vero_2h_Vic_INF_R1_00009_ch4_results_cell_8.npz,gRNA,Victoria,2,Untreated,15,15,0,
1460,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,211,170,7,5.857142857142857
1461,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,65,56,2,4.5
1462,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,116,97,4,4.75
1463,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,145,124,4,5.25
1464,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,101,84,4,4.25
1465,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,316,250,12,5.5
1466,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch3_results_cell_6.npz,ORFN,Victoria,2,Untreated,274,217,7,8.142857142857142
1467,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch3_results_cell_7.npz,ORFN,Victoria,2,Untreated,216,177,8,4.875
1468,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,27,27,0,
1469,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,3,3,0,
1470,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,8,8,0,
1471,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,13,13,0,
1472,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,6,6,0,
1473,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,41,41,0,
1474,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,29,29,0,
1475,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch4_results_cell_7.npz,gRNA,Victoria,2,Untreated,12,12,0,
1476,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,114,100,2,7.0
1477,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,68,64,1,4.0
1478,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,205,169,4,9.0
1479,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,339,243,11,8.727272727272727
1480,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,250,193,10,5.7
1481,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,319,254,11,5.909090909090909
1482,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch3_results_cell_6.npz,ORFN,Victoria,2,Untreated,199,154,5,9.0
1483,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch3_results_cell_7.npz,ORFN,Victoria,2,Untreated,42,38,1,4.0
1484,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,4,4,0,
1485,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,8,8,0,
1486,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,21,21,0,
1487,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,53,37,2,8.0
1488,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,25,25,0,
1489,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,19,15,1,4.0
1490,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,24,19,1,5.0
1491,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch4_results_cell_7.npz,gRNA,Victoria,2,Untreated,4,4,0,
1492,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,25,25,0,
1493,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,103,97,1,6.0
1494,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,133,133,0,
1495,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,152,128,4,6.0
1496,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,124,102,3,7.333333333333333
1497,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,73,69,1,4.0
1498,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_6.npz,ORFN,Victoria,2,Untreated,136,114,4,5.5
1499,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_7.npz,ORFN,Victoria,2,Untreated,93,77,2,8.0
1500,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_8.npz,ORFN,Victoria,2,Untreated,187,154,7,4.714285714285714
1501,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,1,1,0,
1502,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,7,7,0,
1503,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,7,7,0,
1504,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,14,14,0,
1505,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,8,8,0,
1506,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,2,2,0,
1507,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,7,7,0,
1508,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch4_results_cell_7.npz,gRNA,Victoria,2,Untreated,11,11,0,
1509,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch4_results_cell_8.npz,gRNA,Victoria,2,Untreated,23,23,0,
1510,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,106,99,1,7.0
1511,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,55,51,1,4.0
1512,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,106,94,3,4.0
1513,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,176,140,7,5.142857142857143
1514,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,193,128,8,8.125
1515,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch3_results_cell_5.npz,ORFN,Victoria,2,Untreated,43,43,0,
1516,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch3_results_cell_6.npz,ORFN,Victoria,2,Untreated,202,164,6,6.333333333333333
1517,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,12,12,0,
1518,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,10,10,0,
1519,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,12,12,0,
1520,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,20,20,0,
1521,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,15,15,0,
1522,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch4_results_cell_5.npz,gRNA,Victoria,2,Untreated,0,0,0,
1523,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch4_results_cell_6.npz,gRNA,Victoria,2,Untreated,15,15,0,
1524,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch3_results_cell_0.npz,ORFN,Victoria,2,Untreated,149,127,4,5.5
1525,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch3_results_cell_1.npz,ORFN,Victoria,2,Untreated,179,143,4,9.0
1526,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch3_results_cell_2.npz,ORFN,Victoria,2,Untreated,63,55,2,4.0
1527,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch3_results_cell_3.npz,ORFN,Victoria,2,Untreated,130,99,6,5.166666666666667
1528,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch3_results_cell_4.npz,ORFN,Victoria,2,Untreated,104,89,3,5.0
1529,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch4_results_cell_0.npz,gRNA,Victoria,2,Untreated,3,3,0,
1530,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch4_results_cell_1.npz,gRNA,Victoria,2,Untreated,20,20,0,
1531,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch4_results_cell_2.npz,gRNA,Victoria,2,Untreated,0,0,0,
1532,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch4_results_cell_3.npz,gRNA,Victoria,2,Untreated,6,6,0,
1533,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch4_results_cell_4.npz,gRNA,Victoria,2,Untreated,9,9,0,
