,file_name,strain,time,treatment,ch3_total_vRNAs,ch3_cytosolic_RNAs,ch3_repSites,ch3_mol_per_repSite,ch4_total_vRNAs,ch4_cytosolic_RNAs,ch4_repSites,ch4_mol_per_repSite
650,CoV-FISH-10_Vero_2h_B117_RDV_R1_00003_ch3_results_cell_2.npz,B117,2,RDV,49,49,0,,1,1,0,
1229,CoV-FISH-10_Vero_2h_MOCK_R2_00004_ch3_results_cell_3.npz,None,2,MOCK,49,40,2,4.5,1,1,0,
50,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_8.npz,B117,2,INF,45,21,2,12,1,1,0,
1492,CoV-FISH-10_Vero_2h_Vic_INF_R1_00012_ch3_results_cell_0.npz,Vic,2,INF,25,25,0,,1,1,0,
787,CoV-FISH-10_Vero_2h_B117_RDV_R1_00011_ch3_results_cell_1.npz,B117,2,RDV,22,22,0,,1,1,0,
644,CoV-FISH-10_Vero_2h_B117_RDV_R1_00002_ch3_results_cell_2.npz,B117,2,RDV,20,20,0,,1,1,0,
1568,CoV-FISH-10_Vero_2h_Vic_INF_R1_00017_ch3_results_cell_0.npz,Vic,2,INF,18,18,0,,1,1,0,
1231,CoV-FISH-10_Vero_2h_MOCK_R2_00004_ch3_results_cell_5.npz,None,2,MOCK,15,8,1,7,1,1,0,
713,CoV-FISH-10_Vero_2h_B117_RDV_R1_00007_ch3_results_cell_10.npz,B117,2,RDV,14,14,0,,1,1,0,
1034,CoV-FISH-10_Vero_2h_B117_RDV_R3_00007_ch3_results_cell_2.npz,B117,2,RDV,13,13,0,,1,1,0,
1211,CoV-FISH-10_Vero_2h_MOCK_R2_00003_ch3_results_cell_7.npz,None,2,MOCK,13,13,0,,1,1,0,
1013,CoV-FISH-10_Vero_2h_B117_RDV_R3_00005_ch3_results_cell_1.npz,B117,2,RDV,11,9,1,2,1,1,0,
583,CoV-FISH-10_Vero_2h_B117_INF_R3_00009_ch3_results_cell_1.npz,B117,2,INF,9,9,0,,1,1,0,
970,CoV-FISH-10_Vero_2h_B117_RDV_R3_00002_ch3_results_cell_0.npz,B117,2,RDV,9,9,0,,1,1,0,
990,CoV-FISH-10_Vero_2h_B117_RDV_R3_00003_ch3_results_cell_6.npz,B117,2,RDV,9,9,0,,1,1,0,
1240,CoV-FISH-10_Vero_2h_MOCK_R2_00005_ch3_results_cell_0.npz,None,2,MOCK,9,9,0,,1,1,0,
1274,CoV-FISH-10_Vero_2h_MOCK_R3_00003_ch3_results_cell_4.npz,None,2,MOCK,9,9,0,,1,1,0,
361,CoV-FISH-10_Vero_2h_B117_INF_R2_00004_ch3_results_cell_9.npz,B117,2,INF,8,8,0,,1,1,0,
1203,CoV-FISH-10_Vero_2h_MOCK_R2_00003_ch3_results_cell_10.npz,None,2,MOCK,7,7,0,,1,1,0,
1014,CoV-FISH-10_Vero_2h_B117_RDV_R3_00005_ch3_results_cell_2.npz,B117,2,RDV,6,6,0,,1,1,0,
962,CoV-FISH-10_Vero_2h_B117_RDV_R3_00001_ch3_results_cell_2.npz,B117,2,RDV,5,5,0,,1,1,0,
1998,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00001_ch3_results_cell_0.npz,Vic,2,RDV,4,4,0,,1,1,0,
1090,CoV-FISH-10_Vero_2h_B117_RDV_R3_00010_ch3_results_cell_6.npz,B117,2,RDV,3,3,0,,1,1,0,
1204,CoV-FISH-10_Vero_2h_MOCK_R2_00003_ch3_results_cell_11.npz,None,2,MOCK,3,3,0,,1,1,0,
1285,CoV-FISH-10_Vero_2h_MOCK_R3_00004_ch3_results_cell_3.npz,None,2,MOCK,3,3,0,,1,1,0,
1228,CoV-FISH-10_Vero_2h_MOCK_R2_00004_ch3_results_cell_2.npz,None,2,MOCK,2,2,0,,1,1,0,
1314,CoV-FISH-10_Vero_2h_Vic_INF_R1_00001_ch3_results_cell_0.npz,Vic,2,INF,192,78,3,38,0,0,0,
1526,CoV-FISH-10_Vero_2h_Vic_INF_R1_00014_ch3_results_cell_2.npz,Vic,2,INF,87,55,2,16,0,0,0,
178,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_0.npz,B117,2,INF,76,40,1,36,0,0,0,
1939,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00009_ch3_results_cell_7.npz,Vic,2,RDV,48,48,0,,0,0,0,
1515,CoV-FISH-10_Vero_2h_Vic_INF_R1_00013_ch3_results_cell_5.npz,Vic,2,INF,43,43,0,,0,0,0,
1836,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_2.npz,Vic,2,RDV,41,41,0,,0,0,0,
130,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_0.npz,B117,2,INF,40,40,0,,0,0,0,
1208,CoV-FISH-10_Vero_2h_MOCK_R2_00003_ch3_results_cell_4.npz,None,2,MOCK,30,24,1,6,0,0,0,
716,CoV-FISH-10_Vero_2h_B117_RDV_R1_00007_ch3_results_cell_3.npz,B117,2,RDV,28,28,0,,0,0,0,
1271,CoV-FISH-10_Vero_2h_MOCK_R3_00003_ch3_results_cell_1.npz,None,2,MOCK,26,21,1,5,0,0,0,
1333,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch3_results_cell_1.npz,Vic,2,INF,24,24,1,0,0,0,0,
1850,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00004_ch3_results_cell_0.npz,Vic,2,RDV,21,21,0,,0,0,0,
1272,CoV-FISH-10_Vero_2h_MOCK_R3_00003_ch3_results_cell_2.npz,None,2,MOCK,18,12,1,6,0,0,0,
1210,CoV-FISH-10_Vero_2h_MOCK_R2_00003_ch3_results_cell_6.npz,None,2,MOCK,12,7,1,5,0,0,0,
1205,CoV-FISH-10_Vero_2h_MOCK_R2_00003_ch3_results_cell_1.npz,None,2,MOCK,10,7,1,3,0,0,0,
1243,CoV-FISH-10_Vero_2h_MOCK_R2_00005_ch3_results_cell_3.npz,None,2,MOCK,8,8,0,,0,0,0,
100,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_5.npz,B117,2,INF,7,7,0,,0,0,0,
1192,CoV-FISH-10_Vero_2h_MOCK_R2_00002_ch3_results_cell_0.npz,None,2,MOCK,7,7,0,,0,0,0,
548,CoV-FISH-10_Vero_2h_B117_INF_R3_00007_ch3_results_cell_0.npz,B117,2,INF,6,6,0,,0,0,0,
1273,CoV-FISH-10_Vero_2h_MOCK_R3_00003_ch3_results_cell_3.npz,None,2,MOCK,6,6,0,,0,0,0,
144,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_0.npz,B117,2,INF,5,5,0,,0,0,0,
1209,CoV-FISH-10_Vero_2h_MOCK_R2_00003_ch3_results_cell_5.npz,None,2,MOCK,5,5,0,,0,0,0,
1289,CoV-FISH-10_Vero_2h_MOCK_R3_00004_ch3_results_cell_7.npz,None,2,MOCK,5,5,0,,0,0,0,
1275,CoV-FISH-10_Vero_2h_MOCK_R3_00003_ch3_results_cell_5.npz,None,2,MOCK,4,4,0,,0,0,0,
768,CoV-FISH-10_Vero_2h_B117_RDV_R1_00010_ch3_results_cell_0.npz,B117,2,RDV,3,3,0,,0,0,0,
1184,CoV-FISH-10_Vero_2h_MOCK_R2_00001_ch3_results_cell_0.npz,None,2,MOCK,3,3,0,,0,0,0,
1187,CoV-FISH-10_Vero_2h_MOCK_R2_00001_ch3_results_cell_3.npz,None,2,MOCK,3,3,0,,0,0,0,
1117,CoV-FISH-10_Vero_2h_MOCK_R1_00002_ch3_results_cell_7.npz,None,2,MOCK,2,2,0,,0,0,0,
1144,CoV-FISH-10_Vero_2h_MOCK_R1_00004_ch3_results_cell_2.npz,None,2,MOCK,2,2,0,,0,0,0,
1206,CoV-FISH-10_Vero_2h_MOCK_R2_00003_ch3_results_cell_2.npz,None,2,MOCK,2,2,0,,0,0,0,
1246,CoV-FISH-10_Vero_2h_MOCK_R2_00005_ch3_results_cell_6.npz,None,2,MOCK,2,2,0,,0,0,0,
1100,CoV-FISH-10_Vero_2h_MOCK_R1_00001_ch3_results_cell_2.npz,None,2,MOCK,1,1,0,,0,0,0,
1101,CoV-FISH-10_Vero_2h_MOCK_R1_00001_ch3_results_cell_3.npz,None,2,MOCK,1,1,0,,0,0,0,
1114,CoV-FISH-10_Vero_2h_MOCK_R1_00002_ch3_results_cell_4.npz,None,2,MOCK,1,1,0,,0,0,0,
1116,CoV-FISH-10_Vero_2h_MOCK_R1_00002_ch3_results_cell_6.npz,None,2,MOCK,1,1,0,,0,0,0,
1133,CoV-FISH-10_Vero_2h_MOCK_R1_00003_ch3_results_cell_7.npz,None,2,MOCK,1,1,0,,0,0,0,
1142,CoV-FISH-10_Vero_2h_MOCK_R1_00004_ch3_results_cell_0.npz,None,2,MOCK,1,1,0,,0,0,0,
1164,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_2.npz,None,2,MOCK,1,1,0,,0,0,0,
1254,CoV-FISH-10_Vero_2h_MOCK_R3_00001_ch3_results_cell_0.npz,None,2,MOCK,1,1,0,,0,0,0,
1282,CoV-FISH-10_Vero_2h_MOCK_R3_00004_ch3_results_cell_0.npz,None,2,MOCK,1,1,0,,0,0,0,
1808,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_2.npz,Vic,2,RDV,1,1,0,,0,0,0,
1827,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00002_ch3_results_cell_5.npz,Vic,2,RDV,1,1,0,,0,0,0,
1098,CoV-FISH-10_Vero_2h_MOCK_R1_00001_ch3_results_cell_0.npz,None,2,MOCK,0,0,0,,0,0,0,
1099,CoV-FISH-10_Vero_2h_MOCK_R1_00001_ch3_results_cell_1.npz,None,2,MOCK,0,0,0,,0,0,0,
1102,CoV-FISH-10_Vero_2h_MOCK_R1_00001_ch3_results_cell_4.npz,None,2,MOCK,0,0,0,,0,0,0,
1103,CoV-FISH-10_Vero_2h_MOCK_R1_00001_ch3_results_cell_5.npz,None,2,MOCK,0,0,0,,0,0,0,
1110,CoV-FISH-10_Vero_2h_MOCK_R1_00002_ch3_results_cell_0.npz,None,2,MOCK,0,0,0,,0,0,0,
1111,CoV-FISH-10_Vero_2h_MOCK_R1_00002_ch3_results_cell_1.npz,None,2,MOCK,0,0,0,,0,0,0,
1112,CoV-FISH-10_Vero_2h_MOCK_R1_00002_ch3_results_cell_2.npz,None,2,MOCK,0,0,0,,0,0,0,
1113,CoV-FISH-10_Vero_2h_MOCK_R1_00002_ch3_results_cell_3.npz,None,2,MOCK,0,0,0,,0,0,0,
1115,CoV-FISH-10_Vero_2h_MOCK_R1_00002_ch3_results_cell_5.npz,None,2,MOCK,0,0,0,,0,0,0,
1126,CoV-FISH-10_Vero_2h_MOCK_R1_00003_ch3_results_cell_0.npz,None,2,MOCK,0,0,0,,0,0,0,
1127,CoV-FISH-10_Vero_2h_MOCK_R1_00003_ch3_results_cell_1.npz,None,2,MOCK,0,0,0,,0,0,0,
1128,CoV-FISH-10_Vero_2h_MOCK_R1_00003_ch3_results_cell_2.npz,None,2,MOCK,0,0,0,,0,0,0,
1129,CoV-FISH-10_Vero_2h_MOCK_R1_00003_ch3_results_cell_3.npz,None,2,MOCK,0,0,0,,0,0,0,
1130,CoV-FISH-10_Vero_2h_MOCK_R1_00003_ch3_results_cell_4.npz,None,2,MOCK,0,0,0,,0,0,0,
1131,CoV-FISH-10_Vero_2h_MOCK_R1_00003_ch3_results_cell_5.npz,None,2,MOCK,0,0,0,,0,0,0,
1132,CoV-FISH-10_Vero_2h_MOCK_R1_00003_ch3_results_cell_6.npz,None,2,MOCK,0,0,0,,0,0,0,
1143,CoV-FISH-10_Vero_2h_MOCK_R1_00004_ch3_results_cell_1.npz,None,2,MOCK,0,0,0,,0,0,0,
1145,CoV-FISH-10_Vero_2h_MOCK_R1_00004_ch3_results_cell_3.npz,None,2,MOCK,0,0,0,,0,0,0,
1146,CoV-FISH-10_Vero_2h_MOCK_R1_00004_ch3_results_cell_4.npz,None,2,MOCK,0,0,0,,0,0,0,
1147,CoV-FISH-10_Vero_2h_MOCK_R1_00004_ch3_results_cell_5.npz,None,2,MOCK,0,0,0,,0,0,0,
1148,CoV-FISH-10_Vero_2h_MOCK_R1_00004_ch3_results_cell_6.npz,None,2,MOCK,0,0,0,,0,0,0,
1149,CoV-FISH-10_Vero_2h_MOCK_R1_00004_ch3_results_cell_7.npz,None,2,MOCK,0,0,0,,0,0,0,
1150,CoV-FISH-10_Vero_2h_MOCK_R1_00004_ch3_results_cell_8.npz,None,2,MOCK,0,0,0,,0,0,0,
1160,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_0.npz,None,2,MOCK,0,0,0,,0,0,0,
1163,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_1.npz,None,2,MOCK,0,0,0,,0,0,0,
1161,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_10.npz,None,2,MOCK,0,0,0,,0,0,0,
1162,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_11.npz,None,2,MOCK,0,0,0,,0,0,0,
1165,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_3.npz,None,2,MOCK,0,0,0,,0,0,0,
1166,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_4.npz,None,2,MOCK,0,0,0,,0,0,0,
1167,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_5.npz,None,2,MOCK,0,0,0,,0,0,0,
1168,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_6.npz,None,2,MOCK,0,0,0,,0,0,0,
1169,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_7.npz,None,2,MOCK,0,0,0,,0,0,0,
1170,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_8.npz,None,2,MOCK,0,0,0,,0,0,0,
1171,CoV-FISH-10_Vero_2h_MOCK_R1_00005_ch3_results_cell_9.npz,None,2,MOCK,0,0,0,,0,0,0,
1270,CoV-FISH-10_Vero_2h_MOCK_R3_00003_ch3_results_cell_0.npz,None,2,MOCK,0,0,0,,0,0,0,
1810,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_4.npz,Vic,2,RDV,0,0,0,,0,0,0,
1964,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00011_ch3_results_cell_2.npz,Vic,2,RDV,0,0,0,,0,0,0,
3838,CoV-FISH-10_Vero_6h_Vic_INF_R2_00010_ch3_results_cell_6.npz,Vic,6,INF,654947,16011,965,662.1098446,424668,17463,802,507.7369077
3815,CoV-FISH-10_Vero_6h_Vic_INF_R2_00008_ch3_results_cell_1.npz,Vic,6,INF,764100,16344,724,1032.812155,293722,15148,632,440.7816456
4045,CoV-FISH-10_Vero_6h_Vic_INF_R3_00014_ch3_results_cell_3.npz,Vic,6,INF,121365,11209,461,238.9501085,193694,13760,599,300.3906511
3984,CoV-FISH-10_Vero_6h_Vic_INF_R3_00009_ch3_results_cell_0.npz,Vic,6,INF,124184,4007,223,538.9103139,159295,7075,276,551.5217391
3958,CoV-FISH-10_Vero_6h_Vic_INF_R3_00006_ch3_results_cell_6.npz,Vic,6,INF,342506,10419,618,537.3576052,150796,7795,271,527.6789668
3896,CoV-FISH-10_Vero_6h_Vic_INF_R3_00001_ch3_results_cell_6.npz,Vic,6,INF,26635,4481,167,132.6586826,114705,9153,418,252.5167464
3987,CoV-FISH-10_Vero_6h_Vic_INF_R3_00009_ch3_results_cell_3.npz,Vic,6,INF,304296,10482,319,921.0470219,113119,7105,169,627.3017751
3943,CoV-FISH-10_Vero_6h_Vic_INF_R3_00005_ch3_results_cell_1.npz,Vic,6,INF,302632,15039,692,415.5968208,111901,9561,449,227.9287305
3792,CoV-FISH-10_Vero_6h_Vic_INF_R2_00007_ch3_results_cell_0.npz,Vic,6,INF,535034,20078,959,536.9718457,102399,8155,426,221.2300469
3880,CoV-FISH-10_Vero_6h_Vic_INF_R2_00014_ch3_results_cell_0.npz,Vic,6,INF,94541,8093,227,380.8281938,74639,6097,163,420.5030675
2569,CoV-FISH-10_Vero_6h_B117_INF_R2_00007_ch3_results_cell_1.npz,B117,6,INF,160634,17723,510,280.2176471,72523,12419,344,174.7209302
3816,CoV-FISH-10_Vero_6h_Vic_INF_R2_00008_ch3_results_cell_2.npz,Vic,6,INF,80426,5497,66,1135.287879,66694,2110,70,922.6285714
3835,CoV-FISH-10_Vero_6h_Vic_INF_R2_00010_ch3_results_cell_3.npz,Vic,6,INF,141737,6796,109,1237.990826,65557,2650,67,938.9104478
3849,CoV-FISH-10_Vero_6h_Vic_INF_R2_00011_ch3_results_cell_3.npz,Vic,6,INF,82646,11071,203,352.5862069,60896,8699,184,283.6793478
3748,CoV-FISH-10_Vero_6h_Vic_INF_R2_00003_ch3_results_cell_2.npz,Vic,6,INF,60705,3488,94,608.6914894,60808,5377,168,329.9464286
3925,CoV-FISH-10_Vero_6h_Vic_INF_R3_00003_ch3_results_cell_3.npz,Vic,6,INF,126814,6449,219,549.6118721,59726,5839,180,299.3722222
3738,CoV-FISH-10_Vero_6h_Vic_INF_R2_00002_ch3_results_cell_2.npz,Vic,6,INF,112894,8270,332,315.1325301,59683,7678,299,173.9297659
3985,CoV-FISH-10_Vero_6h_Vic_INF_R3_00009_ch3_results_cell_1.npz,Vic,6,INF,109567,4111,196,538.0408163,45638,1877,103,424.8640777
3910,CoV-FISH-10_Vero_6h_Vic_INF_R3_00002_ch3_results_cell_6.npz,Vic,6,INF,19233,5213,149,94.09395973,43410,7929,256,138.5976563
3922,CoV-FISH-10_Vero_6h_Vic_INF_R3_00003_ch3_results_cell_0.npz,Vic,6,INF,101558,9302,288,320.3333333,40434,4079,190,191.3421053
2560,CoV-FISH-10_Vero_6h_B117_INF_R2_00006_ch3_results_cell_0.npz,B117,6,INF,66244,14006,323,161.7275542,28955,6461,209,107.6267943
3736,CoV-FISH-10_Vero_6h_Vic_INF_R2_00002_ch3_results_cell_0.npz,Vic,6,INF,96643,6299,141,640.7375887,28835,2323,72,368.2222222
3996,CoV-FISH-10_Vero_6h_Vic_INF_R3_00010_ch3_results_cell_0.npz,Vic,6,INF,65499,9353,330,170.1393939,28118,6634,194,110.742268
3761,CoV-FISH-10_Vero_6h_Vic_INF_R2_00004_ch3_results_cell_3.npz,Vic,6,INF,19932,6670,156,85.01282051,28018,6545,201,106.8308458
2923,CoV-FISH-10_Vero_6h_B117_RDV_R2_00002_ch3_results_cell_3.npz,B117,6,RDV,22249,4474,186,95.56451613,25774,5256,193,106.3108808
3978,CoV-FISH-10_Vero_6h_Vic_INF_R3_00008_ch3_results_cell_0.npz,Vic,6,INF,32334,8499,204,116.8382353,21533,6074,173,89.3583815
3936,CoV-FISH-10_Vero_6h_Vic_INF_R3_00004_ch3_results_cell_4.npz,Vic,6,INF,37274,8990,235,120.3574468,21382,8153,161,82.16770186
3924,CoV-FISH-10_Vero_6h_Vic_INF_R3_00003_ch3_results_cell_2.npz,Vic,6,INF,21314,4134,31,554.1935484,19062,1107,46,390.326087
2544,CoV-FISH-10_Vero_6h_B117_INF_R2_00003_ch3_results_cell_6.npz,B117,6,INF,21534,6232,161,95.04347826,19011,6477,154,81.38961039
3884,CoV-FISH-10_Vero_6h_Vic_INF_R2_00014_ch3_results_cell_4.npz,Vic,6,INF,21410,6524,44,338.3181818,18046,1416,39,426.4102564
3800,CoV-FISH-10_Vero_6h_Vic_INF_R2_00007_ch3_results_cell_7.npz,Vic,6,INF,147981,6320,126,1124.293651,17913,1321,36,460.8888889
3971,CoV-FISH-10_Vero_6h_Vic_INF_R3_00007_ch3_results_cell_5.npz,Vic,6,INF,130516,11654,413,287.8014528,16500,4123,130,95.20769231
3856,CoV-FISH-10_Vero_6h_Vic_INF_R2_00012_ch3_results_cell_0.npz,Vic,6,INF,7940,4136,77,49.4025974,16337,5351,137,80.18978102
3988,CoV-FISH-10_Vero_6h_Vic_INF_R3_00009_ch3_results_cell_4.npz,Vic,6,INF,18407,3588,16,926.1875,15748,692,20,752.8
3832,CoV-FISH-10_Vero_6h_Vic_INF_R2_00010_ch3_results_cell_0.npz,Vic,6,INF,27363,3693,25,946.8,15597,792,18,822.5
3894,CoV-FISH-10_Vero_6h_Vic_INF_R3_00001_ch3_results_cell_4.npz,Vic,6,INF,12641,5236,55,134.6363636,15086,1302,34,405.4117647
3817,CoV-FISH-10_Vero_6h_Vic_INF_R2_00008_ch3_results_cell_3.npz,Vic,6,INF,317,316,1,1,14278,463,26,531.3461538
3873,CoV-FISH-10_Vero_6h_Vic_INF_R2_00013_ch3_results_cell_3.npz,Vic,6,INF,143102,7031,230,591.6130435,13470,1132,45,274.1777778
2552,CoV-FISH-10_Vero_6h_B117_INF_R2_00004_ch3_results_cell_0.npz,B117,6,INF,53846,19803,261,130.4329502,13237,4322,132,67.53787879
3966,CoV-FISH-10_Vero_6h_Vic_INF_R3_00007_ch3_results_cell_0.npz,Vic,6,INF,108460,6630,153,665.5555556,13072,3561,61,155.9180328
4028,CoV-FISH-10_Vero_6h_Vic_INF_R3_00012_ch3_results_cell_6.npz,Vic,6,INF,64368,5303,180,328.1388889,11879,2354,79,120.5696203
4027,CoV-FISH-10_Vero_6h_Vic_INF_R3_00012_ch3_results_cell_5.npz,Vic,6,INF,33475,4433,81,358.5432099,11005,1737,69,134.3188406
3751,CoV-FISH-10_Vero_6h_Vic_INF_R2_00003_ch3_results_cell_5.npz,Vic,6,INF,16429,4807,34,341.8235294,9567,879,17,511.0588235
3796,CoV-FISH-10_Vero_6h_Vic_INF_R2_00007_ch3_results_cell_3.npz,Vic,6,INF,34392,2919,29,1085.275862,9563,431,21,434.8571429
2913,CoV-FISH-10_Vero_6h_B117_RDV_R2_00001_ch3_results_cell_1.npz,B117,6,RDV,26758,9817,184,92.07065217,8522,1876,115,57.79130435
3737,CoV-FISH-10_Vero_6h_Vic_INF_R2_00002_ch3_results_cell_1.npz,Vic,6,INF,28805,1329,49,560.7346939,7865,786,24,294.9583333
3837,CoV-FISH-10_Vero_6h_Vic_INF_R2_00010_ch3_results_cell_5.npz,Vic,6,INF,36145,1003,64,549.09375,7726,421,16,456.5625
3770,CoV-FISH-10_Vero_6h_Vic_INF_R2_00005_ch3_results_cell_2.npz,Vic,6,INF,15079,3654,77,148.3766234,7027,1014,36,167.0277778
3907,CoV-FISH-10_Vero_6h_Vic_INF_R3_00002_ch3_results_cell_3.npz,Vic,6,INF,7518,3767,37,101.3783784,6666,865,30,193.3666667
2630,CoV-FISH-10_Vero_6h_B117_INF_R3_00001_ch3_results_cell_4.npz,B117,6,INF,21500,7232,155,92.0516129,6661,3791,76,37.76315789
3795,CoV-FISH-10_Vero_6h_Vic_INF_R2_00007_ch3_results_cell_2.npz,Vic,6,INF,33952,1482,58,559.8275862,6622,436,18,343.6666667
2718,CoV-FISH-10_Vero_6h_B117_INF_R3_00010_ch3_results_cell_2.npz,B117,6,INF,30331,6021,138,176.1594203,6527,2956,56,63.76785714
3836,CoV-FISH-10_Vero_6h_Vic_INF_R2_00010_ch3_results_cell_4.npz,Vic,6,INF,40774,2089,37,1045.540541,6417,625,10,579.2
2693,CoV-FISH-10_Vero_6h_B117_INF_R3_00008_ch3_results_cell_3.npz,B117,6,INF,17091,7353,136,71.60294118,5706,2646,78,39.23076923
3871,CoV-FISH-10_Vero_6h_Vic_INF_R2_00013_ch3_results_cell_1.npz,Vic,6,INF,30530,4775,35,735.8571429,5626,846,20,239
4446,CoV-FISH-10_Vero_6h_Vic_RDV_R3_00009_ch3_results_cell_4.npz,Vic,6,RDV,30861,6769,63,382.4126984,4315,1377,49,59.95918367
3784,CoV-FISH-10_Vero_6h_Vic_INF_R2_00006_ch3_results_cell_6.npz,Vic,6,INF,22819,6832,169,94.59763314,3861,1906,60,32.58333333
4044,CoV-FISH-10_Vero_6h_Vic_INF_R3_00014_ch3_results_cell_2.npz,Vic,6,INF,3045,271,8,346.75,3861,332,6,588.1666667
2646,CoV-FISH-10_Vero_6h_B117_INF_R3_00003_ch3_results_cell_0.npz,B117,6,INF,36263,7255,229,126.6724891,3811,2414,44,31.75
3850,CoV-FISH-10_Vero_6h_Vic_INF_R2_00011_ch3_results_cell_4.npz,Vic,6,INF,2409,306,4,525.75,3631,291,8,417.5
2979,CoV-FISH-10_Vero_6h_B117_RDV_R2_00008_ch3_results_cell_3.npz,B117,6,RDV,24130,8677,175,88.30285714,3581,1804,60,29.61666667
2716,CoV-FISH-10_Vero_6h_B117_INF_R3_00010_ch3_results_cell_0.npz,B117,6,INF,31361,7640,154,154.0324675,3566,1735,33,55.48484848
3944,CoV-FISH-10_Vero_6h_Vic_INF_R3_00005_ch3_results_cell_2.npz,Vic,6,INF,3864,287,6,596.1666667,3281,651,5,526
4194,CoV-FISH-10_Vero_6h_Vic_RDV_R2_00002_ch3_results_cell_0.npz,Vic,6,RDV,34505,4845,118,251.3559322,3137,889,34,66.11764706
4381,CoV-FISH-10_Vero_6h_Vic_RDV_R3_00004_ch3_results_cell_5.npz,Vic,6,RDV,74923,5521,221,314.0361991,3003,880,33,64.33333333
2666,CoV-FISH-10_Vero_6h_B117_INF_R3_00006_ch3_results_cell_0.npz,B117,6,INF,16839,6634,118,86.48305085,2946,1893,43,24.48837209
3872,CoV-FISH-10_Vero_6h_Vic_INF_R2_00013_ch3_results_cell_2.npz,Vic,6,INF,22006,888,30,703.9333333,2847,197,10,265
4023,CoV-FISH-10_Vero_6h_Vic_INF_R3_00012_ch3_results_cell_1.npz,Vic,6,INF,4790,1424,5,673.2,2839,273,11,233.2727273
3895,CoV-FISH-10_Vero_6h_Vic_INF_R3_00001_ch3_results_cell_5.npz,Vic,6,INF,768,532,4,59,2795,292,6,417.1666667
3857,CoV-FISH-10_Vero_6h_Vic_INF_R2_00012_ch3_results_cell_1.npz,Vic,6,INF,4724,3060,27,61.62962963,2684,883,23,78.30434783
4395,CoV-FISH-10_Vero_6h_Vic_RDV_R3_00005_ch3_results_cell_5.npz,Vic,6,RDV,22315,3874,122,151.1557377,2606,944,43,38.65116279
3933,CoV-FISH-10_Vero_6h_Vic_INF_R3_00004_ch3_results_cell_1.npz,Vic,6,INF,1088,358,6,121.6666667,2590,279,14,165.0714286
3954,CoV-FISH-10_Vero_6h_Vic_INF_R3_00006_ch3_results_cell_2.npz,Vic,6,INF,1212,307,6,150.8333333,2570,190,6,396.6666667
2740,CoV-FISH-10_Vero_6h_B117_INF_R3_00011_ch3_results_cell_6.npz,B117,6,INF,8225,3697,70,64.68571429,2563,1301,42,30.04761905
3799,CoV-FISH-10_Vero_6h_Vic_INF_R2_00007_ch3_results_cell_6.npz,Vic,6,INF,9075,785,7,1184.285714,2416,180,5,447.2
3986,CoV-FISH-10_Vero_6h_Vic_INF_R3_00009_ch3_results_cell_2.npz,Vic,6,INF,1440,223,2,608.5,2409,128,3,760.3333333
2570,CoV-FISH-10_Vero_6h_B117_INF_R2_00007_ch3_results_cell_2.npz,B117,6,INF,9452,1345,34,238.4411765,2293,409,8,235.5
2543,CoV-FISH-10_Vero_6h_B117_INF_R2_00003_ch3_results_cell_5.npz,B117,6,INF,4236,1597,23,114.7391304,2244,860,11,125.8181818
2535,CoV-FISH-10_Vero_6h_B117_INF_R2_00002_ch3_results_cell_1.npz,B117,6,INF,1264,283,4,245.25,2107,185,5,384.4
4046,CoV-FISH-10_Vero_6h_Vic_INF_R3_00014_ch3_results_cell_4.npz,Vic,6,INF,1731,171,5,312,1957,161,3,598.6666667
3760,CoV-FISH-10_Vero_6h_Vic_INF_R2_00004_ch3_results_cell_2.npz,Vic,6,INF,2825,678,16,134.1875,1694,468,11,111.4545455
